1. ENORMOUS
66. SUBSERVIENT
   a) Aggressive
   b) Straightforward
   c) Dignified
   d) Supercilious

   Answer: c

67. LEND
   a) Borrow
   b) Cheat
   c) Pawn
   d) Hire

   Answer: a

68. FAINT-HEARTED
   a) Warm-hearted
   b) Full-blooded
   c) Hot-blooded
   d) Stout-hearted

   Answer: d

69. REMISS
   a) Forgetful
   b) Watchful
   c) Dutiful
   d) Harmful

   Answer: c

70. TRANSPARENT
   a) Semi-transparent
   b) Muddy
   c) Opaque
   d) Dark

   Answer: c

71. HONORARY
   a) Dishonorable
   b) Reputed
   c) Paid
   d) Official

   Answer: c

72. METICULOUS
   a) Mutual
   b) Shaggy
   c) Meretricious
   d) Slovenly

   Answer: d

73. LOQUACIOUS
   a) Reticent
   b) Talkative
   c) Garrulous
   d) Verbose

   Answer: a

74. CONFESS
   a) Deny
   b) Refuse
   c) Contest
   d) Contend

   Answer: a

75. ANNOY
   a) Praise
   b) Rejoice
   c) Please
   d) Reward

   Answer: c

76. REPEL
   a) Attend
   b) Concentrate
   c) Continue
   d) Attract

   Answer: d

77. SUPPRESS
   a) Encourage
   b) Allow
   c) Praise
   d) Permit

   Answer: a

78. NIGGARDLY
   a) Frugal
   b) Thrifty
   c) Stingy
   d) Generous

   Answer: d

79. IMPASSE
   a) Resurgence
   b) Breakthrough
   c) Continuation
   d) Combination

   Answer: b

80. HAPHAZARD
   a) Fortuitous
   b) Indifferent
   c) Deliberate
   d) Accidental

   Answer: c

81. DENSITY
   a) Rarity
   b) Intelligence
   c) Clarity
   d) Brightness

   Answer: a

82. ADHERENT
   a) Detractor
   b) Enemy
   c) Alien
   d) Rival

   Answer: b

83. BASE
   a) Climax
   b) Height
   c) Top
   d) Roof

   Answer: c

84. PATCHY
   a) Attractive
   b) Uniform
   c) Simple
   d) Clear

   Answer: b

85. ENMITY
   a) Important
   b) Unnecessary
   c) Friendship
   d) Likeness

   Answer: c

86. HOLLOW
   a) Filled
   b) Solid
   c) Strong
   d) Substantial

   Answer: b

87. VALUABLE
   a) Invaluable
   b) Worthless
   c) Inferior
   d) Lowly

   Answer: b

88. GULLIBLE
   a) Incredulous
   b) Fickle
   c) Easy
   d) Stylish

   Answer: a

89. INDUSTRIOUS
   a) Indifferent
   b) Indolent
   c) Casual
   d) Passive

   Answer: b

90. AUTONOMY
   a) Slavery
   b) Subordination
   c) Dependence
   d) Submissiveness

   Answer: c

91. ALIEN
   a) Native
   b) Domiciled
   c) Natural
   d) Resident

   Answer: a

92. SYNTHETIC
   a) Affable
   b) Natural
   c) Plastic
   d) Cosmetic

   Answer: b

93. BALANCE
   a) Disbalance
   b) Misbalance
   c) Debalance
   d) Imbalance

   Answer: d

94. LIABILITY
   a) Property
   b) Assets
   c) Debt
   d) Treasure

   Answer: b

95. MOUNTAIN
   a) Plain
   b) Plateau
   c) Precipice
   d) Valley

   Answer: d

96. STATIONARY
   a) Active
   b) Mobile
   c) Rapid
   d) Busy

   Answer: b

97. CONCEDE
   a) Object
   b) Refuse
   c) Grant
   d) Accede

   Answer: b

98. VIOLENT
   a) Humble
   b) Harmless
   c) Gentle
   d) Tame

   Answer: c

99. VIRTUOUS
   a) Wicked
   b) Corrupt
   c) Vicious
   d) Scandalous

   Answer: a

100. GAIN
   a) Loose
   b) Fall
   c) Lost
   d) Lose

   Answer: d

101. PRELIMINARY
   a) Final
   b) First
   c) Secondary
   d) Initial

   Answer: a

102. DEFIANCE
   a) Anxiety
   b) Obedience
   c) Suspicion
   d) Dismay

   Answer: b

103. ENCOURAGE
   a) Dampen
   b) Disapprove
   c) Discourage
   d) Warn

   Answer: c

104. LUCID
   a) Glory
   b) Noisy
   c) Obscure
   d) Distinct

   Answer: c

105. STRINGENT
   a) General
   b) Vehement
   c) Lenient
   d) Magnanimous

   Answer: c

106. MINOR
   a) Big
   b) Major
   c) Tall
   d) Heavy

   Answer: b

107. REVEALED
   a) Denied
   b) Concealed
   c) Ignored
   d) Overlooked

   Answer: b

108. ESSENTIAL
   a) Extra
   b) Noughts
   c) Minors
   d) Trivial

   Answer: a

109. HYPOCRITICAL
   a) Gentle
   b) Sincere
   c) Amiable
   d) Dependable

   Answer: b

110. FICKLE
   a) Courageous
   b) Sincere
   c) Steadfast
   d) Humble

   Answer: c

